idAirTable,direccion,fechaDeCarga,barrio,ciudad,cpc,zona,calle,altura,tipo,superficie,piso,dormitorios,categoria,precioUS,latitud,longitud
recDxeBpKtLPGcRSN,"Bv Chacabuco 700 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Bv Chacabuco,674,EDIFICIO DE DEPARTAMENTOS,60.00,6,2,ESTANDAR,71500,-31.42553410,-64.18332620
recKdjQ0vpgQa00r5,"Fructuoso Rivera 200 Ciudad de Cordoba, Provincia de Córdoba, Argentina",7/2/2024,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Fructuoso Rivera,150,EDIFICIO DE DEPARTAMENTOS,43.65,3,1,ESTANDAR,71800,-31.42575030,-64.19093040
recIE72wnsl94k3bS,"Manantiales_ Altos de  Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Manantiales_ Altos de ,Ciudad de Cordoba,Villa Libertador,Sur - Oeste,01,0,CASONAS,41.65,3,1,PREMIUM,72000,-31.45701520,-64.23810630
recEeIkN88rZoCYb8,"Obispo Trejo  700 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Obispo Trejo ,683,EDIFICIO DE DEPARTAMENTOS,42.66,9,1,ESTANDAR,72000,-31.42397220,-64.18898570
recfVb9ssmWwXH8mI,"Bv Chacabuco 800 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2019,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Bv Chacabuco,788,EDIFICIO DE DEPARTAMENTOS,42.99,4,1,ESTANDAR,72000,-31.42672270,-64.18383860
recHDtvDea1wXIX4c,"Obispo Trejo 1200 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Obispo Trejo,1119,EDIFICIO DE DEPARTAMENTOS,43.00,PLANTA BAJA,1,ESTANDAR,72000,-31.42943440,-64.19126970
rec8x1QITnp22FbMV,"Velez Sarsfield 1100 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Guemes,Ciudad de Cordoba,Mercado Central,Central,Velez Sarsfield,1100,EDIFICIO DE DEPARTAMENTOS,43.65,20 o superior,1,ESTANDAR,72000,-31.42783660,-64.19212120
recdIUXxBvnVuYqxW,"Ituzaingó 1000 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Ituzaingó,958,EDIFICIO DE DEPARTAMENTOS,43.99,11,1,ESTANDAR,72000,-31.42756170,-64.18595070
reck06kPcNwycaFyt,"Buenos Aires 500 Ciudad de Cordoba, Provincia de Córdoba, Argentina",6/9/2021,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Buenos Aires,462,EDIFICIO DE DEPARTAMENTOS,46.65,7,1,ESTANDAR,72000,-31.42253120,-64.18519110
rec7BMfQomwKfn100,"lima 1600 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,General Paz,Ciudad de Cordoba,Pueyrredon,Este,lima,1600,EDIFICIO DE DEPARTAMENTOS,49.60,PLANTA BAJA,1,PREMIUM,72000,-31.41159150,-64.16266230
recULTBAhsWW6IX6O,"Brasil 200 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Brasil,149,EDIFICIO DE DEPARTAMENTOS,50.66,5,1,PREMIUM,72000,-31.42892430,-64.19234300
recRc3chqatv3SaFk,"Av Velez Sarsfield 1900 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Guemes,Ciudad de Cordoba,Mercado Central,Central,Av Velez Sarsfield,1802,EDIFICIO DE DEPARTAMENTOS,63.32,1,2,ESTANDAR,72000,-31.43636070,-64.19545710
recGrXFKtpIyXa3eq,"La Plata 100 La Falda, Provincia de Córdoba, Argentina",6/6/2024,Centro,La Falda,,,La Plata,100,FORMA PARTE DE UN PH ,65.55,PLANTA BAJA,1 y 1/2,PREMIUM,72000,-31.09179470,-64.48154090
recYdXhkBRwTSFazX,"CHACABUCO  200 Ciudad de Cordoba, Provincia de Córdoba, Argentina",5/3/2024,Centro Sud (Av Colon hacia Nva Cba),Ciudad de Cordoba,Mercado Central,Central,CHACABUCO ,110,EDIFICIO DE DEPARTAMENTOS,79.65,6,2 y 1/2,ESTANDAR,72000,-31.41207200,-64.18844570
reczon9sFmn6aW71t,"Parana  700 Ciudad de Cordoba, Provincia de Córdoba, Argentina",5/10/2024,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Parana ,635,EDIFICIO DE DEPARTAMENTOS,44.09,4,1,ESTANDAR,72500,-31.42641060,-64.18091720
rec2FzJ2sLXr9N3LK,"Buenos Aires 900 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Nueva Cordoba,Ciudad de Cordoba,Mercado Central,Central,Buenos Aires,891,EDIFICIO DE DEPARTAMENTOS,44.99,7,1,ESTANDAR,72500,-31.42772670,-64.18733220
